Graph,Library,Device,Iteration,Time_ms
soc-LiveJournal1.mtx,LAGraph-Sym,CPU,27,118.252
soc-LiveJournal1.mtx,LAGraph-Sym,CPU,28,116.384
soc-LiveJournal1.mtx,LAGraph-Sym,CPU,29,117.039
soc-LiveJournal1.mtx,LAGraph-Sym,CPU,30,116.487
patents.mtx,LAGraph-Sym,CPU,1,158.214
patents.mtx,LAGraph-Sym,CPU,2,156.422
patents.mtx,LAGraph-Sym,CPU,3,156.279
patents.mtx,LAGraph-Sym,CPU,4,156.623
patents.mtx,LAGraph-Sym,CPU,5,155.299
patents.mtx,LAGraph-Sym,CPU,6,158.065
patents.mtx,LAGraph-Sym,CPU,7,155.671
patents.mtx,LAGraph-Sym,CPU,8,158.462
patents.mtx,LAGraph-Sym,CPU,9,155.969
patents.mtx,LAGraph-Sym,CPU,10,157.889
patents.mtx,LAGraph-Sym,CPU,11,164.175
patents.mtx,LAGraph-Sym,CPU,12,156.168
patents.mtx,LAGraph-Sym,CPU,13,156.434
patents.mtx,LAGraph-Sym,CPU,14,156.975
patents.mtx,LAGraph-Sym,CPU,15,156.686
patents.mtx,LAGraph-Sym,CPU,16,154.959
patents.mtx,LAGraph-Sym,CPU,17,155.225
patents.mtx,LAGraph-Sym,CPU,18,156.114
patents.mtx,LAGraph-Sym,CPU,19,156.796
patents.mtx,LAGraph-Sym,CPU,20,156.629
patents.mtx,LAGraph-Sym,CPU,21,156.086
patents.mtx,LAGraph-Sym,CPU,22,156.817
patents.mtx,LAGraph-Sym,CPU,23,157.317
patents.mtx,LAGraph-Sym,CPU,24,157.118
patents.mtx,LAGraph-Sym,CPU,25,157.28
patents.mtx,LAGraph-Sym,CPU,26,158.772
patents.mtx,LAGraph-Sym,CPU,27,155.705
patents.mtx,LAGraph-Sym,CPU,28,155.826
patents.mtx,LAGraph-Sym,CPU,29,169.867
patents.mtx,LAGraph-Sym,CPU,30,160.229
soc-LiveJournal1.mtx,SPLA,GPU,1,255.503
soc-LiveJournal1.mtx,SPLA,GPU,2,58.849
soc-LiveJournal1.mtx,SPLA,GPU,3,57.175
soc-LiveJournal1.mtx,SPLA,GPU,4,56.777
soc-LiveJournal1.mtx,SPLA,GPU,5,58.47
soc-LiveJournal1.mtx,SPLA,GPU,6,57.245
soc-LiveJournal1.mtx,SPLA,GPU,7,57.05
soc-LiveJournal1.mtx,SPLA,GPU,8,57.489
soc-LiveJournal1.mtx,SPLA,GPU,9,57.228
soc-LiveJournal1.mtx,SPLA,GPU,10,57.566
soc-LiveJournal1.mtx,SPLA,GPU,11,57.13
soc-LiveJournal1.mtx,SPLA,GPU,12,56.945
soc-LiveJournal1.mtx,SPLA,GPU,13,57.16
soc-LiveJournal1.mtx,SPLA,GPU,14,58.15
soc-LiveJournal1.mtx,SPLA,GPU,15,57.353
soc-LiveJournal1.mtx,SPLA,GPU,16,57.359
soc-LiveJournal1.mtx,SPLA,GPU,17,57.196
soc-LiveJournal1.mtx,SPLA,GPU,18,57.217
soc-LiveJournal1.mtx,SPLA,GPU,19,57.259
soc-LiveJournal1.mtx,SPLA,GPU,20,57.552
soc-LiveJournal1.mtx,SPLA,GPU,21,57.192
soc-LiveJournal1.mtx,SPLA,GPU,22,56.925
soc-LiveJournal1.mtx,SPLA,GPU,23,58.163
soc-LiveJournal1.mtx,SPLA,GPU,24,57.546
soc-LiveJournal1.mtx,SPLA,GPU,25,57.424
soc-LiveJournal1.mtx,SPLA,GPU,26,57.429
soc-LiveJournal1.mtx,SPLA,GPU,27,56.965
soc-LiveJournal1.mtx,SPLA,GPU,28,56.943
soc-LiveJournal1.mtx,SPLA,GPU,29,57.157
soc-LiveJournal1.mtx,SPLA,GPU,30,57.206
patents.mtx,SPLA,GPU,1,141.482
patents.mtx,SPLA,GPU,2,37.825
patents.mtx,SPLA,GPU,3,37.534
patents.mtx,SPLA,GPU,4,37.687
patents.mtx,SPLA,GPU,5,37.84
patents.mtx,SPLA,GPU,6,37.774
patents.mtx,SPLA,GPU,7,37.796
patents.mtx,SPLA,GPU,8,37.361
patents.mtx,SPLA,GPU,9,37.505
patents.mtx,SPLA,GPU,10,37.466
patents.mtx,SPLA,GPU,11,37.485
patents.mtx,SPLA,GPU,12,38.148
patents.mtx,SPLA,GPU,13,37.609
patents.mtx,SPLA,GPU,14,37.507
patents.mtx,SPLA,GPU,15,37.702
patents.mtx,SPLA,GPU,16,37.751
patents.mtx,SPLA,GPU,17,37.578
patents.mtx,SPLA,GPU,18,37.452
patents.mtx,SPLA,GPU,19,37.439
patents.mtx,SPLA,GPU,20,37.526
patents.mtx,SPLA,GPU,21,37.543
patents.mtx,SPLA,GPU,22,37.346
patents.mtx,SPLA,GPU,23,37.213
patents.mtx,SPLA,GPU,24,37.36
patents.mtx,SPLA,GPU,25,38.168
patents.mtx,SPLA,GPU,26,37.966
patents.mtx,SPLA,GPU,27,37.612
patents.mtx,SPLA,GPU,28,37.374
patents.mtx,SPLA,GPU,29,37.552
patents.mtx,SPLA,GPU,30,37.761
