Graph,LibraryMode,Mode,Iteration,Time_ms,Reached
patents.mtx,SpLA GPU,undirected,9,87.226,-1
patents.mtx,SpLA GPU,undirected,10,87.928,-1
patents.mtx,SpLA GPU,undirected,11,87.885,-1
patents.mtx,SpLA GPU,undirected,12,87.467,-1
patents.mtx,SpLA GPU,undirected,13,87.438,-1
patents.mtx,SpLA GPU,undirected,14,87.517,-1
patents.mtx,SpLA GPU,undirected,15,91.42,-1
wiki-Talk.mtx,LAGraph directed,directed,1,186.301,2394385
wiki-Talk.mtx,LAGraph directed,directed,2,185.063,2394385
wiki-Talk.mtx,LAGraph directed,directed,3,189.834,2394385
wiki-Talk.mtx,LAGraph directed,directed,4,184.246,2394385
wiki-Talk.mtx,LAGraph directed,directed,5,189.142,2394385
wiki-Talk.mtx,LAGraph directed,directed,6,183.119,2394385
wiki-Talk.mtx,LAGraph directed,directed,7,183.891,2394385
wiki-Talk.mtx,LAGraph directed,directed,8,180.656,2394385
wiki-Talk.mtx,LAGraph directed,directed,9,181.507,2394385
wiki-Talk.mtx,LAGraph directed,directed,10,182.072,2394385
wiki-Talk.mtx,LAGraph directed,directed,11,183.596,2394385
wiki-Talk.mtx,LAGraph directed,directed,12,186.773,2394385
wiki-Talk.mtx,LAGraph directed,directed,13,183.241,2394385
wiki-Talk.mtx,LAGraph directed,directed,14,186.32,2394385
wiki-Talk.mtx,LAGraph directed,directed,15,186.227,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,1,128.061,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,2,131.13,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,3,128.909,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,4,127.945,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,5,131.937,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,6,135.367,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,7,128.138,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,8,131.152,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,9,131.364,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,10,129.648,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,11,128.18,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,12,128.684,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,13,130.125,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,14,126.605,2394385
wiki-Talk.mtx,LAGraph undirected,undirected,15,128.751,2394385
rgg_n_2_22_s0.mtx,LAGraph directed,directed,1,6649.8,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,2,6457.7,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,3,6797.6,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,4,6550.4,4194304
rgg_n_2_22_s0.mtx,LAGraph directed,directed,5,6549.6,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,1,6413.9,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,2,6728.9,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,3,6871.6,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,4,6967.2,4194304
rgg_n_2_22_s0.mtx,LAGraph undirected,undirected,5,6853.1,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,1,5201.96,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,2,4763.56,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,3,4770.9,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,4,4840.7,4194304
rgg_n_2_22_s0.mtx,SpLA GPU,undirected,5,4758.53,4194304
wiki-Talk.mtx,SpLA GPU,undirected,1,147.318,2394385
wiki-Talk.mtx,SpLA GPU,undirected,2,100.347,2394385
wiki-Talk.mtx,SpLA GPU,undirected,3,99.854,2394385
wiki-Talk.mtx,SpLA GPU,undirected,4,97.855,2394385
wiki-Talk.mtx,SpLA GPU,undirected,5,98.217,2394385
wiki-Talk.mtx,SpLA GPU,undirected,6,97.758,2394385
wiki-Talk.mtx,SpLA GPU,undirected,7,97.396,2394385
wiki-Talk.mtx,SpLA GPU,undirected,8,98.172,2394385
wiki-Talk.mtx,SpLA GPU,undirected,9,96.588,2394385
wiki-Talk.mtx,SpLA GPU,undirected,10,96.279,2394385
wiki-Talk.mtx,SpLA GPU,undirected,11,97.141,2394385
wiki-Talk.mtx,SpLA GPU,undirected,12,97.754,2394385
wiki-Talk.mtx,SpLA GPU,undirected,13,98.905,2394385
wiki-Talk.mtx,SpLA GPU,undirected,14,97.27,2394385
wiki-Talk.mtx,SpLA GPU,undirected,15,95.826,2394385
